"","country_region_code","country_region","sub_country","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"79652","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-06,-70,-22,-25,-45,-33,13
"79653","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-07,-65,-20,45,-28,-22,8
"79654","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-08,-53,-15,36,-31,-42,16
"79655","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-09,-54,-14,48,-27,-43,16
"79656","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-10,-59,-17,-1,-36,-44,18
"79657","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-11,-56,-15,-5,-38,-44,19
"79658","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-12,-59,-18,-4,-40,-44,19
"79659","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-13,-63,-18,18,-33,-25,11
"79660","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-14,-61,-16,44,-27,-16,7
"79661","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-15,-41,-14,50,-26,-41,15
"79662","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-16,-45,-13,34,-25,-42,16
"79663","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-17,-49,-14,15,-29,-42,17
"79664","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-18,-54,-18,-30,-40,-44,19
"79665","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-19,-50,-10,9,-33,-42,16
"79666","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-20,-55,-9,33,-20,-21,9
"79667","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-21,-57,-12,45,-15,-11,6
"79668","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-22,-42,-13,53,-23,-42,14
"79669","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-23,-43,-9,73,-15,-42,14
"79670","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-24,-48,-8,63,-11,-41,14
"79671","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-25,-47,-5,55,-14,-42,14
"79672","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-26,-47,-7,39,-24,-41,15
"79673","GB","United Kingdom","England","Somerset","","GB-SOM",NA,2020-06-27,-56,-14,-9,-28,-24,10
"79674","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-15,-14,-8,-25,-23,-2,NA
"79675","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-16,-3,-2,-8,-4,0,NA
"79676","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-17,6,6,NA,1,1,1
"79677","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-18,6,-1,NA,-3,1,0
"79678","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-19,-3,0,-6,1,0,1
"79679","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-20,0,-2,-2,-3,2,1
"79680","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-21,-12,0,-15,-6,1,2
"79681","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-22,-11,-3,-28,-10,1,NA
"79682","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-23,1,1,8,0,-2,NA
"79683","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-24,1,3,NA,-1,-1,1
"79684","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-25,10,1,NA,2,2,0
"79685","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-26,4,1,16,-2,2,0
"79686","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-27,7,3,4,0,1,0
"79687","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-28,-1,6,-2,0,1,1
"79688","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-02-29,7,1,-7,2,4,NA
"79689","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-01,-8,-3,-15,5,2,NA
"79690","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-02,11,8,NA,5,1,0
"79691","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-03,16,6,NA,0,1,0
"79692","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-04,9,9,NA,8,-1,0
"79693","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-05,10,9,31,2,2,0
"79694","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-06,2,9,50,3,1,0
"79695","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-07,0,1,19,3,-1,NA
"79696","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-08,8,3,47,20,2,NA
"79697","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-09,4,6,NA,1,0,1
"79698","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-10,6,5,NA,2,-2,0
"79699","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-11,-4,3,16,-2,-1,1
"79700","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-12,-3,7,2,-6,-2,1
"79701","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-13,0,14,NA,4,-4,1
"79702","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-14,-4,11,38,-5,-3,NA
"79703","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-15,0,16,57,9,-3,NA
"79704","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-16,3,23,NA,-6,-6,3
"79705","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-17,-7,17,NA,-18,-12,5
"79706","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-18,-11,22,NA,-19,-15,7
"79707","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-19,-9,23,NA,-15,-18,7
"79708","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-20,-19,16,NA,-19,-18,9
"79709","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-21,-41,11,72,-30,-23,NA
"79710","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-22,-44,-6,NA,-10,-29,NA
"79711","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-23,-40,-3,NA,-38,-40,13
"79712","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-24,-74,-27,-17,-59,-56,20
"79713","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-25,-77,-25,-31,-63,-65,NA
"79714","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-26,-77,-29,-24,-65,-65,NA
"79715","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-27,-81,-30,-40,-63,-66,NA
"79716","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-28,-86,-37,-49,-68,-60,NA
"79717","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-29,-88,-42,-35,-62,-56,NA
"79718","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-30,-76,-30,-16,-64,-68,NA
"79719","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-03-31,-77,-30,-21,-64,-68,NA
"79720","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-01,-79,-30,-35,-67,-69,NA
"79721","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-02,-78,-32,-44,-72,-69,NA
"79722","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-03,-81,-31,-47,-68,-68,NA
"79723","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-04,-85,-39,-49,-67,-58,NA
"79724","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-05,-86,-43,-42,-54,-53,NA
"79725","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-06,-75,-30,-16,-62,-67,NA
"79726","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-07,-76,-30,-17,-61,-68,NA
"79727","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-08,-76,-31,-24,-61,-69,NA
"79728","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-09,-75,-25,-35,-61,-68,NA
"79729","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-10,-78,-32,-33,-64,-73,NA
"79730","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-11,-83,-34,-42,-62,-59,NA
"79731","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-12,-87,-46,-40,-53,-53,NA
"79732","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-13,-79,-36,-20,-64,-76,NA
"79733","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-14,-72,-28,-17,-61,-68,NA
"79734","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-15,-74,-28,-16,-61,-67,NA
"79735","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-16,-74,-28,-22,-63,-66,NA
"79736","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-17,-76,-28,-33,-61,-67,NA
"79737","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-18,-82,-35,-33,-60,-56,NA
"79738","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-19,-82,-34,-11,-45,-51,NA
"79739","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-20,-72,-27,-1,-56,-64,NA
"79740","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-21,-71,-25,4,-55,-66,NA
"79741","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-22,-72,-26,-6,-57,-64,NA
"79742","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-23,-71,-25,-18,-58,-64,NA
"79743","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-24,-75,-22,-12,-56,-65,NA
"79744","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-25,-80,-28,-21,-57,-53,NA
"79745","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-26,-80,-34,-15,-47,-48,NA
"79746","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-27,-67,-23,NA,-53,-63,NA
"79747","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-28,-69,-27,-23,-57,-65,NA
"79748","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-29,-74,-26,-32,-63,-64,NA
"79749","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-04-30,-73,-26,-36,-61,-64,NA
"79750","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-01,-72,-25,-20,-56,-63,NA
"79751","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-02,-79,-27,-18,-57,-51,NA
"79752","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-03,-76,-31,-1,-38,-45,NA
"79753","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-04,-67,-22,NA,-56,-63,NA
"79754","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-05,-67,-22,11,-55,-63,NA
"79755","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-06,-68,-20,13,-52,-63,NA
"79756","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-07,-68,-22,-20,-59,-64,NA
"79757","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-08,-74,-25,-13,-58,-69,NA
"79758","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-09,-79,-26,-19,-52,-51,NA
"79759","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-10,-80,-32,-25,-49,-45,NA
"79760","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-11,-64,-19,5,-51,-62,NA
"79761","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-12,-67,-22,1,-55,-62,NA
"79762","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-13,-67,-19,7,-51,-61,NA
"79763","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-14,-68,-24,-12,-56,-60,NA
"79764","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-15,-72,-22,-21,-56,-60,NA
"79765","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-16,-77,-27,-30,-57,-46,NA
"79766","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-17,-80,-33,-49,-59,-44,NA
"79767","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-18,-66,-24,-17,-56,-60,NA
"79768","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-19,-66,-22,-16,-56,-60,NA
"79769","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-20,-65,-19,NA,-50,-59,NA
"79770","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-21,-66,-21,4,-55,-58,20
"79771","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-22,-71,-22,-37,-58,-60,NA
"79772","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-23,-81,-34,-62,-67,-49,NA
"79773","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-24,-74,-29,-14,-41,-40,NA
"79774","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-25,-64,-22,NA,-49,-62,NA
"79775","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-26,-61,-18,NA,-48,-58,19
"79776","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-27,-63,-16,NA,-49,-56,19
"79777","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-28,-62,-13,36,-50,-56,19
"79778","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-29,-65,-11,65,-37,-55,19
"79779","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-30,-72,-13,61,-30,-35,NA
"79780","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-05-31,-66,-12,NA,-5,-31,NA
"79781","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-01,-55,-7,NA,-29,-54,16
"79782","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-02,-58,-16,NA,-40,-56,17
"79783","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-03,-61,-13,30,-42,-54,18
"79784","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-04,-61,-17,13,-48,-54,18
"79785","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-05,-65,-17,-3,-53,-54,20
"79786","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-06,-72,-19,18,-50,-38,NA
"79787","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-07,-67,-18,81,-26,-29,NA
"79788","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-08,-55,-12,NA,-44,-52,16
"79789","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-09,-60,-17,NA,-51,-53,18
"79790","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-10,-60,-15,16,-53,-54,18
"79791","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-11,-57,-14,36,-47,-51,17
"79792","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-12,-61,-16,21,-50,-51,19
"79793","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-13,-67,-19,14,-47,-34,NA
"79794","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-14,-59,-14,NA,-20,-21,NA
"79795","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-15,-51,-13,NA,-39,-50,15
"79796","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-16,-53,-12,NA,-46,-52,17
"79797","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-17,-57,-13,NA,-45,-52,18
"79798","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-18,-56,-6,NA,-37,-49,16
"79799","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-19,-60,-7,34,-40,-50,17
"79800","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-20,-64,-4,95,-33,-27,NA
"79801","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-21,-65,-13,4,-34,-21,NA
"79802","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-22,-55,-14,NA,-46,-53,17
"79803","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-23,-55,-12,NA,-48,-54,17
"79804","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-24,-53,-5,NA,-36,-49,15
"79805","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-25,-52,2,NA,-32,-50,14
"79806","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-26,-58,-8,33,-44,-50,17
"79807","GB","United Kingdom","Scotland","South Ayrshire Council","","GB-SAY",NA,2020-06-27,-65,-13,16,-48,-32,NA
"79808","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-15,-10,4,-47,-14,-4,3
"79809","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-16,-6,6,-41,-10,-2,1
"79810","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-17,6,11,14,-2,-14,2
"79811","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-18,9,11,10,-3,-13,2
"79812","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-19,7,9,-7,-4,-14,3
"79813","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-20,10,4,0,-10,-14,3
"79814","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-21,4,-1,18,1,-15,3
"79815","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-22,-5,-3,-6,6,-1,0
"79816","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-23,-6,-2,-13,3,-1,-1
"79817","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-24,-2,-1,-16,2,-1,1
"79818","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-25,-1,5,-14,2,2,1
"79819","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-26,-2,-1,-9,2,1,0
"79820","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-27,4,8,4,2,0,0
"79821","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-28,-2,12,-19,4,-2,1
"79822","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-02-29,3,14,-25,1,0,0
"79823","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-01,1,13,0,7,3,-1
"79824","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-02,3,15,12,1,0,0
"79825","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-03,4,3,8,1,1,0
"79826","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-04,-2,2,-23,-5,0,1
"79827","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-05,1,-3,-12,-4,0,1
"79828","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-06,1,-1,13,5,0,0
"79829","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-07,-3,-5,-2,1,0,0
"79830","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-08,-1,-9,2,6,2,-1
"79831","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-09,-2,-5,1,0,0,1
"79832","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-10,-1,-4,-6,1,0,1
"79833","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-11,0,-4,3,-5,0,1
"79834","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-12,0,-5,-6,-6,-2,2
"79835","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-13,-3,2,9,-4,-4,2
"79836","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-14,-5,0,5,-5,-1,2
"79837","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-15,-10,-4,-25,-9,-2,2
"79838","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-16,1,14,32,-14,-7,3
"79839","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-17,-5,23,4,-29,-15,8
"79840","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-18,-14,15,-18,-39,-25,13
"79841","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-19,-12,9,-12,-43,-32,15
"79842","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-20,-22,12,14,-38,-33,15
"79843","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-21,-38,2,40,-31,-22,11
"79844","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-22,-51,-16,44,-28,-27,8
"79845","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-23,-39,-7,25,-47,-48,19
"79846","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-24,-67,-21,14,-62,-59,26
"79847","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-25,-69,-25,8,-65,-64,29
"79848","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-26,-68,-31,20,-64,-66,29
"79849","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-27,-71,-29,-2,-64,-66,30
"79850","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-28,-78,-39,-34,-64,-54,20
"79851","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-29,-81,-45,-30,-64,-52,NA
"79852","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-30,-71,-32,-11,-69,-69,29
"79853","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-03-31,-69,-27,22,-68,-70,29
"79854","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-01,-72,-32,-15,-70,-70,31
"79855","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-02,-69,-33,11,-69,-70,31
"79856","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-03,-71,-25,15,-63,-69,30
"79857","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-04,-77,-33,-3,-54,-55,20
"79858","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-05,-80,-38,-5,-56,-52,NA
"79859","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-06,-69,-26,14,-64,-71,29
"79860","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-07,-70,-23,30,-64,-71,30
"79861","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-08,-70,-22,10,-64,-70,30
"79862","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-09,-65,-17,28,-63,-70,29
"79863","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-10,-74,-28,20,-66,-83,34
"79864","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-11,-77,-27,-2,-56,-56,20
"79865","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-12,-91,-59,-2,-55,-55,NA
"79866","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-13,-76,-34,17,-73,-85,34
"79867","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-14,-67,-19,31,-63,-70,29
"79868","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-15,-70,-21,25,-63,-69,30
"79869","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-16,-68,-26,43,-65,-69,30
"79870","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-17,-74,-29,-33,-68,-69,31
"79871","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-18,-80,-41,-32,-64,-51,20
"79872","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-19,-81,-42,25,-53,-45,15
"79873","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-20,-71,-33,37,-61,-68,28
"79874","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-21,-70,-30,51,-62,-68,29
"79875","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-22,-72,-30,32,-63,-67,29
"79876","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-23,-69,-31,52,-63,-67,29
"79877","GB","United Kingdom","England","South Gloucestershire","","GB-SGC",NA,2020-04-24,-71,-29,35,-59,-66,29
